droger
term|score|std|term frequency|document frequency
ickediskriminering|0.529560|0.021655|37|29
valfrihet|0.527541|0.011374|473|323
anständiga|0.515573|0.022916|31|29
demokrati|0.514004|0.017370|2162|1064
välfärd|0.512879|0.024699|1766|1055
öppenhet|0.507255|0.025015|605|393
humanitet|0.506207|0.043234|23|20
riskspridning|0.504504|0.016218|10|8
rättvist|0.501963|0.030495|513|397
sammanhållning|0.501196|0.019948|129|111
