droger
term|score|std|term frequency|document frequency
frihet|0.547769|0.021052|3459|1634
säkerheten|0.537176|0.021423|981|654
styrka|0.536712|0.023008|858|674
välfärd|0.533881|0.014632|1717|908
respekt|0.531391|0.031723|1681|1028
effektivitet|0.531265|0.031949|1305|932
kompetens|0.528871|0.013827|5867|2887
legitimitet|0.528535|0.028193|528|400
miljö|0.528123|0.018661|4196|2230
trygghet
term|score|std|term frequency|document frequency
frihet|0.704366|0.013495|3459|1634
delaktighet|0.702975|0.012148|626|453
otrygghet|0.671282|0.021280|587|436
tryggheten|0.651108|0.024839|887|560
valfrihet|0.634271|0.008810|2921|1172
tillit|0.620737|0.051293|223|177
gemenskap|0.614206|0.025903|487|381
välfärd|0.613844|0.014253|1717|908
rättssäkerhet|0.600844|0.016742|838|570
stabilitet|0.596692|0.021018|679|420
rättstrygghet|0.595932|0.028114|249|148
säkerhet|0.592305|0.021522|3649|1905
värdighet|0.590674|0.022766|168|124
respekt|0.578076|0.024108|1681|1028
kontinuitet|0.571253|0.018207|529|312
individen|0.563212|0.029391|1439|1002
livskvalitet|0.562965|0.029837|494|367
tillvaro|0.562447|0.023648|443|357
personlighetsutveckling|0.561943|0.040263|8|8
självständighet|0.561400|0.033784|715|434
brott
term|score|std|term frequency|document frequency
våldsbrott|0.830909|0.013802|694|363
brotten|0.810942|0.020203|654|400
brottet|0.780051|0.017480|1144|579
övergrepp|0.753057|0.021276|1052|499
sexualbrott|0.746473|0.017399|469|185
gärningar|0.715688|0.020260|168|120
narkotikabrott|0.679599|0.018322|401|147
våldtäkter|0.669147|0.015686|187|105
brottslighet|0.662778|0.016244|2841|1092
våldtäkt|0.653809|0.018637|489|187
gärningsmän|0.650384|0.045927|234|152
rån|0.643019|0.027942|467|218
brottsligheten|0.641789|0.024032|1679|724
mord|0.635636|0.020395|387|179
straff|0.634007|0.023837|1961|888
våld|0.631937|0.014538|3869|1116
hatbrott|0.628058|0.039913|166|37
misshandelsbrott|0.627337|0.026618|82|57
barnpornografibrott|0.625163|0.043718|104|37
brottsoffer|0.615784|0.021603|1053|353
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.766717|0.015252|841|470
brottsligheten|0.706493|0.019403|1679|724
brott|0.662778|0.016244|10454|2676
brotten|0.633119|0.020881|654|400
narkotikabrottslighet|0.626642|0.023072|78|42
misskötsamhet|0.615207|0.030665|29|20
gängkriminalitet|0.597859|0.041709|101|62
våldsbrott|0.596802|0.020906|694|363
narkotikasmuggling|0.586342|0.030948|65|43
bedrägerier|0.584717|0.033843|215|152
vardagsbrottsligheten|0.584438|0.032456|67|47
våldsbrottslighet|0.577228|0.050493|30|27
misshandel|0.576151|0.025616|898|445
narkotikabrott|0.572873|0.011199|401|147
terrorism|0.572819|0.041122|804|224
brottsbekämpning|0.569533|0.039502|335|203
människohandel|0.568733|0.024923|255|94
grova|0.567914|0.029682|1116|629
brottet|0.564850|0.018811|1144|579
sexualbrott|0.557841|0.024909|469|185
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.766717|0.015252|2841|1092
brottsligheten|0.644380|0.025921|1679|724
gängkriminalitet|0.638354|0.028348|101|62
kriminaliteten|0.618041|0.024359|173|116
missbruk|0.616136|0.026175|1646|783
narkotikamissbruk|0.603831|0.027473|186|103
droger|0.595159|0.017782|723|303
alkoholmissbruk|0.582877|0.030191|93|57
narkotika|0.575441|0.013921|1866|539
drogmissbruk|0.573896|0.036948|134|102
gängkriminaliteten|0.571736|0.036108|81|45
våldsbrottslighet|0.562847|0.039917|30|27
våldet|0.558464|0.034333|525|277
missbruket|0.556965|0.030250|364|191
vardagsbrottsligheten|0.553806|0.031958|67|47
kriminella|0.553633|0.023376|1523|676
brott|0.536791|0.020291|10454|2676
brottslingar|0.533484|0.030434|678|310
misär|0.532114|0.024411|95|76
utanförskap|0.528690|0.020106|1514|672
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.608541|0.042580|1151|419
sammanhållning|0.497894|0.050596|130|80
integration|0.479671|0.036751|1108|559
etos|0.478933|0.052531|6|6
humanitet|0.477657|0.036028|44|38
religionsfrihet|0.474858|0.042781|137|73
rättvisa|0.471399|0.055222|811|620
individualism|0.470108|0.048185|26|21
mångfald|0.470062|0.047180|2791|1250
autonomi|0.468838|0.056625|85|64
enhetlighet|0.463837|0.052572|79|72
likabehandling|0.458831|0.047634|200|149
demokrati|0.456291|0.028882|2430|921
självägarskap|0.446085|0.049164|8|7
likaberättigande|0.444281|0.042179|7|7
solidaritet|0.441216|0.031941|196|145
ömsesidighet|0.438452|0.041819|22|20
öppenhet|0.437529|0.029833|845|580
feminism|0.437389|0.053056|4|4
delaktighet|0.434181|0.058542|626|453
solidaritet
term|score|std|term frequency|document frequency
respekt|0.558846|0.033911|1681|1028
trygghet|0.542376|0.024544|4020|1960
gemenskap|0.521922|0.055053|487|381
integration|0.520799|0.046041|1108|559
öppenhet|0.504903|0.017354|845|580
vilja|0.502538|0.028656|3147|2208
sympati|0.498887|0.033050|26|24
försoning|0.484975|0.037111|73|48
empati|0.482173|0.032758|39|37
säkerhet|0.481062|0.024957|3649|1905
samhörighet|0.481035|0.039321|163|139
omtanke|0.478898|0.045780|114|99
sammanhållning|0.477984|0.042276|130|80
medmänsklighet|0.475484|0.042603|44|41
delaktighet|0.469479|0.030165|626|453
religionsfrihet|0.460727|0.026417|137|73
maktdelning|0.459508|0.048895|142|38
jämställdhet|0.458635|0.029063|1151|419
stabilitet|0.456382|0.026120|679|420
tillit|0.452529|0.050562|223|177
rättvisa
term|score|std|term frequency|document frequency
valfrihet|0.548843|0.030728|2921|1172
likabehandling|0.529387|0.052313|200|149
likvärdiga|0.527506|0.029472|956|718
rättvist|0.524498|0.028996|503|435
förutsägbarhet|0.520901|0.026556|178|160
jämställdhet|0.513881|0.036803|1151|419
rimliga|0.496993|0.030546|1684|1371
rättvis|0.493692|0.036149|560|463
stabila|0.491346|0.018990|598|382
avtalsfrihet|0.489651|0.057628|89|62
trygghet|0.482853|0.024664|4020|1960
rättssäkerhet|0.477327|0.041840|838|570
flexibilitet|0.474189|0.042930|1066|755
konkurrensneutralitet|0.473023|0.031899|480|324
mångfald|0.472686|0.023411|2791|1250
stabilitet|0.471550|0.036841|679|420
jämlikhet|0.471399|0.055222|184|142
öppenhet|0.471398|0.021778|845|580
likformighet|0.470072|0.035722|72|60
tillgänglighet|0.468764|0.020632|1513|915
