droger
term|score|std|term frequency|document frequency
narkotikabrott|0.621207|0.027822|401|147
våldtäktsbrott|0.618242|0.039751|15|9
trafiknykterhetsbrott|0.612779|0.075060|36|14
våldtäkt|0.612717|0.022721|489|187
brottsmisstankar|0.608328|0.017507|17|17
rån|0.607796|0.026000|467|218
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.736160|0.012530|841|470
narkotikabrottslighet|0.676335|0.036924|78|42
gängkriminalitet|0.668499|0.025028|101|62
brottsligheten|0.666704|0.017882|1679|724
våldsbrottslighet|0.659838|0.035553|30|27
terroristbrottslighet|0.636638|0.018961|12|8
underrättelseverksamhet|0.611043|0.024682|46|30
brott|0.598119|0.009164|10454|2676
narkotikasmuggling|0.591465|0.017763|65|43
misskötsamhet|0.587612|0.026136|29|20
grova|0.581560|0.012570|1116|629
kriminalitets|0.579620|0.025422|3|3
narkotikabrottsligheten|0.577134|0.030088|44|31
våldsbrott|0.569380|0.018630|694|363
polisverksamhet|0.568789|0.025089|66|50
straffrihet|0.568744|0.047095|14|13
narkotikahantering|0.564106|0.031345|18|17
brotts|0.562344|0.041577|46|40
terrorism|0.562287|0.034464|804|224
människohandel|0.561647|0.030893|255|94
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.736160|0.012530|2841|1092
gängkriminalitet|0.653937|0.023237|101|62
drogmissbruk|0.612494|0.032218|134|102
brottsligheten|0.611695|0.023243|1679|724
våldsbrottslighet|0.601331|0.036889|30|27
missbruk|0.601008|0.025347|1646|783
narkotikamissbruk|0.591216|0.023291|186|103
kriminaliteten|0.579390|0.021900|173|116
misär|0.574403|0.023898|95|76
alkoholmissbruk|0.566547|0.043988|93|57
våldet|0.554811|0.017396|525|277
droger|0.554045|0.019117|723|303
terroristbrottslighet|0.552498|0.024621|12|8
utanförskap|0.542818|0.018488|1514|672
narkotika|0.540091|0.024537|1866|539
intolerans|0.538873|0.022456|25|23
utsatthet|0.535245|0.031672|271|199
narkotikabrottsligheten|0.532899|0.036997|44|31
brottslingar|0.531515|0.028230|678|310
kriminella|0.528535|0.015923|1523|676
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.627390|0.032146|1151|419
sammanhållning|0.517029|0.040578|130|80
egenmakt|0.509676|0.049445|131|95
inkludering|0.495873|0.028787|54|37
likabehandling|0.489537|0.035427|200|149
rättvisa|0.489495|0.039135|811|620
tolerans|0.487751|0.032953|152|133
integration|0.486951|0.035358|1108|559
solidaritet|0.486285|0.032821|196|145
delaktighet|0.480919|0.024750|626|453
humanitet|0.478220|0.026017|44|38
religionsfrihet|0.478117|0.039847|137|73
likvärdighet|0.476694|0.045323|149|103
demokrati|0.473106|0.025557|2430|921
samhällsgemenskap|0.472122|0.031397|13|13
rättighetsperspektivet|0.466134|0.029494|2|1
autonomi|0.462996|0.050935|85|64
enhetlighet|0.461518|0.031104|79|72
hbtqipersoner|0.457642|0.019889|2|2
individualism|0.456628|0.074643|26|21
solidaritet
term|score|std|term frequency|document frequency
försoning|0.528523|0.035413|73|48
gemenskap|0.526192|0.039852|487|381
respekt|0.518190|0.025209|1681|1028
integration|0.501865|0.038469|1108|559
demokrati|0.500715|0.018878|2430|921
sympati|0.495604|0.042565|26|24
religionsfrihet|0.489390|0.017175|137|73
sammanhållning|0.486409|0.036507|130|80
jämlikhet|0.486285|0.032821|184|142
jämställdhet|0.481693|0.018824|1151|419
empati|0.481071|0.040219|39|37
öppenhet|0.479393|0.023154|845|580
samhörighet|0.470495|0.028702|163|139
trygghet|0.467464|0.021497|4020|1960
medmänsklighet|0.466237|0.028959|44|41
värdighet|0.457026|0.043035|168|124
tolerans|0.454614|0.038348|152|133
demokratisering|0.451038|0.028506|105|76
polarisering|0.450622|0.039457|9|9
maktdelning|0.449875|0.040255|142|38
rättvisa
term|score|std|term frequency|document frequency
jämlika|0.560753|0.040622|47|40
jämställdhet|0.532011|0.028182|1151|419
rättvist|0.516480|0.022192|503|435
rättssäkerhet|0.511093|0.035629|838|570
likabehandling|0.508227|0.060380|200|149
likformighet|0.500340|0.025142|72|60
valfrihet|0.490436|0.024725|2921|1172
jämlikhet|0.489495|0.039135|184|142
förutsebara|0.484703|0.029840|61|57
förutsägbarhet|0.481661|0.039154|178|160
rättvis|0.480450|0.026120|560|463
egenmakt|0.477522|0.032281|131|95
flexibilitet|0.477507|0.036348|1066|755
likvärdiga|0.472494|0.028665|956|718
enhetlighet|0.471976|0.029767|79|72
förutsebarhet|0.470807|0.021407|99|80
likformiga|0.464252|0.038101|25|24
drägliga|0.463261|0.032458|21|21
öppenhet|0.453477|0.023625|845|580
förutsebar|0.451349|0.036490|35|33
